FacilityID,Bays,Floodlit,Holes,Length
"2100399","","","27","5876.85"
"2100400","","","18","6109.11"
"2100401","","","9","1783.08"
"2100402","","","18","5772.61"
"2100403","","","9","2281.43"
"2100405","","","18","5797.3"
"2100407","","","18","5928.97"
"2100408","","","18","5886.91"
"2100409","","","18","5704.94"
"2100410","","","18","5585.16"
"2100412","10","1","","228.6"
"2100416","","","9","2833.73"
"2100417","","","18","5760.72"
"2100418","","","18","5966.46"
"2100419","","","18","6262.73"
"2100420","","","18","5949.09"
"2100421","","","18","5910.68"
"2100422","","","18","5690.31"
"2100423","","","18","6045.1"
"2100424","","","18","6112.76"
"2100425","","","9","914.4"
"2100426","","","18","5798.21"
"2100427","","","18","5815.58"
"2100431","","","9","728.78"
"2100432","","","9","2956.26"
"2100433","","","18","6163.97"
"2100434","","","18","6043.27"
"2100435","","","18","5398.62"
"2100436","","","9","5464.45"
"2100437","","","18","5904.28"
"2100438","","","9","2894.08"
"2100440","","","9","5704.94"
"2100441","","","9","695.86"
"2100442","","","9","2213.76"
"2100443","","","9","4916.73"
"2100448","","","18","5969.2"
"2100449","","","18","5903.37"
"2100452","","","18","5088.64"
"2100453","","","18","6144.77"
"2100454","","","18","5377.59"
"2100458","26","1","","274.32"
"2100460","","","18","6063.39"
"2100461","","","18","6091.73"
"2100462","","","27","6293"
"2100463","","","9","2657.25"
"2100465","","","18","5759.81"
"2100467","","","18","5499.2"
"2100468","","","18","5957.32"
"2100469","","","21","6145.68"
"2100470","","","18","6036.87"
"2100471","","","18","6019.5"
"2100473","","","18","5728.72"
"2100474","","","18","5960.97"
"2100475","","","18","5646.42"
"2100476","","","18","5538.52"
"2100477","","","9","2520.09"
"2100478","16","1","","292.61"
"2100480","","","18","5397.7"
"2100481","","","9","2478.02"
"2100482","","","18","5564.12"
"2100483","","","9","2286"
"2100485","","","9","3117.19"
"2100487","","","18","6145.68"
"2100489","","","18","6014.01"
"2100490","","","18","5577.84"
"2100491","","","18","5579.67"
"2100492","","","18","6322.16"
"2100493","24","1","","274"
"2100494","","","9","995.78"
"2100495","","","18","6218.83"
"2100496","","","18","6405.37"
"2100498","","","18","5939.03"
"2100499","","","9","5760.72"
"2100501","","","18","6060.64"
"2100502","","","18","5879.59"
"2100503","","","9","2404.87"
"2100504","","","18","5713.17"
"2100505","","","18","2600.55"
"2100507","","","18","5725.97"
"2100511","","","9","2138.78"
"2100513","","","18","6155.74"
"2100516","","","18","5932.63"
"2100517","","","18","6222.49"
"2100518","","","18","6162.14"
"2100519","","","18","5822.9"
"2100520","","","18","5281.57"
"2100522","","","18","5235.85"
"2100526","","","18","5767.12"
"2100527","","","18","5674.77"
"2100528","","","9","1595.63"
"2100530","","","18","5907.94"
"2100531","","","18","5793.64"
"2100532","","","9","1429.21"
"2100534","","","18","5853.99"
"2100535","","","18","5957.32"
"2100536","","","18","5662.88"
"2100537","","","18","5904.28"
"2100538","","","18","6189.57"
"2100539","","","18","6001.21"
"2100541","","","18","5408.68"
"2100542","","","6","1083.56"
"2100544","","","18","6018.58"
"2100545","","","18","5486.4"
"2100546","","","9","2895.9"
"2100547","","","9","548.64"
"2100548","","","18","5801.87"
"2100549","","","18","5812.84"
"2100551","","","18","5911.6"
"2100552","","","18","6089.9"
"2100554","","","18","5940.86"
"2100555","","","18","6139.28"
"2100556","","","18","5756.15"
"2100558","","","9","1929.38"
"2100560","","","18","5699.46"
"2100562","","","18","5586.98"
"2100563","","","18","5630.88"
"2100564","","","12","2985.52"
"2100565","","","18","5675.68"
"2100566","28","1","","274.32"
"2100568","","","18","4599.43"
"2100569","","","9","960.12"
"2100570","","","18","5739.69"
"2100571","","","10","5272.43"
"2100572","","","18","5462.63"
"2100574","","","18","5324.55"
"2100575","","","9","3048.61"
"2100576","","","18","6163.97"
"2100577","","","18","5093.21"
"2100579","","","18","5769.86"
